,age,gender,race,date,city,state,cause,body_camera
259,39,Female,White,03/06/2020,Poteau,OK,Gunshot,False
260,44,Male,White,03/06/2020,Aiken,SC,Gunshot,False
261,36,Male,White,03/06/2020,Bryant,AR,Gunshot,False
262,22,Male,Hispanic,02/06/2020,Vallejo,CA,Gunshot,False
263,33,Male,Black,02/06/2020,Brooklyn,NY,Gunshot,True
264,65,Male,White,02/06/2020,Cottonwood,CA,Gunshot,False
265,25,Male,Hispanic,01/06/2020,Las Vegas,NV,Gunshot,False
266,53,Male,Black,01/06/2020,Louisville,KY,Gunshot,True
267,36,Male,White,01/06/2020,Fayetteville,AR,Gunshot,False
268,32,Male,White,31/05/2020,Watertown,WI,"Gunshot, Taser",False
269,49,Male,White,31/05/2020,Gresham,OR,Gunshot,False
270,46,Male,Black,30/05/2020,Fountain,FL,Gunshot,False
271,21,Female,Asian,29/05/2020,Temple Terrace,FL,Gunshot,False
272,32,Male,Asian,29/05/2020,San Diego,CA,Gunshot,False
273,34,Male,Black,29/05/2020,Philadelphia,PA,Gunshot,False
275,39,Male,Black,29/05/2020,Snellville,GA,Gunshot,False
276,Unknown,Male,White,29/05/2020,Lancaster,CA,Gunshot,False
277,44,Male,Black,29/05/2020,Yulee,FL,Gunshot,False
279,35,Male,Black,28/05/2020,North Little Rock,AR,Gunshot,False
280,52,Male,White,28/05/2020,Ogden,UT,Gunshot,False
281,Unknown,Male,Unknown race,28/05/2020,Fontana,CA,"Gunshot, Taser",True
283,31,Male,White,28/05/2020,Centennial,CO,Gunshot,False
284,30,Male,Unknown race,27/05/2020,Wilburton,OK,Gunshot,False
285,35,Male,Black,27/05/2020,Marrero,LA,"Gunshot, Taser",True
286,38,Transgender,Black,27/05/2020,Tallahassee,FL,Gunshot,False
287,50,Male,Hispanic,27/05/2020,North Hollywood,CA,Gunshot,False
288,58,Male,White,27/05/2020,Geneseo,NY,Gunshot,False
289,Unknown,Male,Hispanic,27/05/2020,Fullerton,CA,Gunshot,False
290,Unknown,Male,Unknown race,27/05/2020,Luverne,AL,Gunshot,False
291,18,Male,Hispanic,26/05/2020,Los Angeles,CA,Gunshot,False
292,22,Male,Hispanic,26/05/2020,Corpus Christi,TX,Gunshot,False
293,37,Male,White,26/05/2020,Lansing,MI,Gunshot,True
294,42,Female,White,26/05/2020,Avalon Park,FL,Gunshot,False
295,Unknown,Male,Unknown race,26/05/2020,Thornton,CO,Gunshot,False
296,56,Male,White,26/05/2020,Jamestown,CA,Gunshot,False
297,61,Male,Unknown race,26/05/2020,Manlius,NY,Gunshot,False
298,61,Male,White,26/05/2020,Jacksonville,FL,"Gunshot, Taser",False
299,33,Male,Unknown race,25/05/2020,League City,TX,Gunshot,False
300,38,Male,Hispanic,25/05/2020,Houston,TX,Gunshot,False
301,43,Male,Unknown race,25/05/2020,Jonesborough,TN,Gunshot,False
302,47,Male,Unknown race,25/05/2020,Parma,OH,Gunshot,False
304,Unknown,Male,Unknown race,25/05/2020,Modesto,CA,Gunshot,True
305,28,Male,Black,25/05/2020,Phoenix,AZ,Gunshot,False
307,52,Male,Unknown race,24/05/2020,Kila,MT,Gunshot,False
308,22,Male,Hispanic,23/05/2020,Salt Lake City,UT,Gunshot,True
309,26,Male,Unknown race,23/05/2020,Paterson,NJ,Gunshot,False
310,57,Male,Unknown race,23/05/2020,Fonde,KY,Gunshot,False
311,28,Male,Black,23/05/2020,Bass River,NJ,Gunshot,False
313,40,Male,White,21/05/2020,Phoenix,AZ,Gunshot,False
314,60,Male,Black,21/05/2020,Greenwood,SC,Gunshot,False
317,Unknown,Male,Unknown race,20/05/2020,Viera,FL,Gunshot,False
318,45,Male,Black,20/05/2020,Atmore,AL,Gunshot,False
319,Unknown,Male,Hispanic,20/05/2020,Hayward,CA,Gunshot,True
320,32,Male,White,19/05/2020,Chunchula,AL,Gunshot,False
321,69,Male,White,19/05/2020,Tallahassee,FL,Gunshot,False
322,Unknown,Male,Black,19/05/2020,Seattle,WA,"Gunshot, Taser",True
324,64,Male,White,18/05/2020,Forrest City,AR,Gunshot,False
325,29,Male,White,18/05/2020,Sale Creek,TN,Gunshot,False
326,25,Male,Hispanic,17/05/2020,Pasco,WA,Gunshot,False
327,26,Male,White,17/05/2020,Suring,WI,Gunshot,False
328,39,Male,White,17/05/2020,Shenandoah,LA,Gunshot,False
329,49,Male,Unknown race,17/05/2020,Germantown,TN,Gunshot,False
330,29,Male,Black,16/05/2020,Essex,MD,Gunshot,True
331,38,Male,Black,16/05/2020,Braeburn,TX,Gunshot,True
332,42,Male,White,16/05/2020,Greenville,GA,Gunshot,False
333,33,Male,White,15/05/2020,Oxford,MS,Gunshot,False
334,42,Male,Unknown race,15/05/2020,Castro Valley,CA,Gunshot,False
335,Unknown,,Unknown race,15/05/2020,Ladson,SC,Gunshot,False
337,31,Male,White,15/05/2020,Pueblo,CO,Gunshot,False
338,26,Male,Unknown race,14/05/2020,Los Angeles,CA,Gunshot,False
339,49,Male,White,14/05/2020,Union Township,OH,Gunshot,False
340,30,Male,Black,14/05/2020,Houston,TX,Gunshot,False
341,24,Male,Black,13/05/2020,Raleigh,NC,Gunshot,False
342,30,Male,Unknown race,13/05/2020,Central Pennington,SD,Gunshot,False
343,47,Male,White,13/05/2020,Fort McKavett,TX,Gunshot,False
344,37,Male,White,12/05/2020,Deltona,FL,Gunshot,True
346,Unknown,Male,Unknown race,11/05/2020,Laguna Niguel,CA,Gunshot,False
347,50,Male,White,10/05/2020,Twentynine Palms,CA,Gunshot,False
348,25,Male,Unknown race,09/05/2020,Greenville,SC,Gunshot,False
349,27,Male,White,09/05/2020,Calypso,NC,Gunshot,False
350,33,Transgender,White,09/05/2020,Orchard Mesa,CO,Gunshot,False
351,42,Male,Hispanic,09/05/2020,Green Bay,WI,Gunshot,False
352,57,Male,White,09/05/2020,Evergreen,CO,Gunshot,False
353,47,Male,Black,09/05/2020,Claxton,GA,Gunshot,False
354,31,Male,Hispanic,08/05/2020,Long Beach,CA,Gunshot,False
355,47,Male,Pacific Islander,08/05/2020,Pasadena,CA,Gunshot,False
356,48,Male,Black,08/05/2020,Houston,TX,Gunshot,True
357,19,Male,Black,07/05/2020,Indianapolis,IN,Gunshot,False
358,21,Male,Hispanic,07/05/2020,Wasco,CA,Gunshot,False
359,30,Male,Black,07/05/2020,Silver Spring,MD,Gunshot,True
360,51,Male,White,07/05/2020,Jean,NV,Gunshot,False
361,20,Male,Unknown race,06/05/2020,Renton,WA,Gunshot,False
362,21,Male,Black,06/05/2020,Indianapolis,IN,Gunshot,True
363,Unknown,Male,Hispanic,06/05/2020,Commerce City,CO,Gunshot,False
364,Unknown,Male,White,06/05/2020,Graham,NC,Gunshot,False
365,20,Male,Hispanic,05/05/2020,San Antonio,TX,"Gunshot, Taser",False
366,21,Male,Black,05/05/2020,St. Cloud,FL,Gunshot,False
367,23,Male,Black,05/05/2020,Webster Groves,MO,Gunshot,False
368,34,Male,White,05/05/2020,Kansas CIty,MO,Gunshot,False
369,40,Male,White,05/05/2020,Las Vegas,NV,Gunshot,True
370,56,Female,White,05/05/2020,Half Moon Bay,CA,Gunshot,False
371,21,Male,Black,04/05/2020,Muskogee,OK,Gunshot,False
372,36,Male,Hispanic,04/05/2020,Monterey Park,CA,Gunshot,False
374,26,Male,Hispanic,03/05/2020,San Jose,CA,Gunshot,True
375,38,Male,White,03/05/2020,Overland Park,KS,Gunshot,False
376,43,Male,White,03/05/2020,Boerne,TX,Gunshot,False
377,44,Male,White,03/05/2020,Linville,NC,Gunshot,True
378,54,Male,White,03/05/2020,Fort Lauderdale,FL,Gunshot,False
379,69,Male,White,03/05/2020,Oakland City,IN,Gunshot,False
381,Unknown,Male,White,03/05/2020,Jacksonville,FL,Gunshot,False
382,28,Male,Unknown race,03/05/2020,Hillrose,CO,Gunshot,False
383,21,Male,Black,01/05/2020,Denver,CO,Gunshot,True
385,26,Male,Black,01/05/2020,Lakewood,WA,Gunshot,False
386,32,Male,Black,01/05/2020,Little Rock,AR,Gunshot,False
387,Unknown,Male,Unknown race,01/05/2020,Hialeah,FL,Gunshot,False
388,36,Male,White,01/05/2020,San Diego,CA,Gunshot,False
389,28,Male,Unknown race,30/04/2020,Los Angeles,CA,Gunshot,False
391,43,Male,White,30/04/2020,Boons Camp,KY,Gunshot,False
392,27,Male,Black,29/04/2020,Jeffersonville,IN,Gunshot,False
393,38,Male,Hispanic,29/04/2020,Las Vegas,NV,Gunshot,False
395,24,Male,Black,29/04/2020,Columbia City,WA,Gunshot,True
396,29,Male,Hispanic,29/04/2020,Ripperdan,CA,Gunshot,False
400,32,Male,White,28/04/2020,Buckeye,AZ,Gunshot,False
402,50,Male,White,28/04/2020,Vancouver,WA,"Gunshot, Taser",False
405,61,Male,White,27/04/2020,Hogansville,GA,Gunshot,False
406,59,Male,Asian,26/04/2020,La Plata,MD,Gunshot,False
407,48,Male,Unknown race,26/04/2020,Wayne,NJ,Gunshot,False
